cycle,num_arrivals,total_wait,num_completed,abandon
1,2,0.0,2.0,0.0
2,12,93.0,12.0,0.0
3,8,39.0,8.0,0.0
4,13,148.0,13.0,0.0
5,1,0.0,1.0,0.0
6,17,48.0,17.0,0.0
7,2,0.0,2.0,0.0
8,40,9.0,40.0,0.0
9,15,0.0,15.0,0.0
10,131,3314.0,131.0,7.0
11,243,2043.0,243.0,7.0
12,74,828.0,74.0,1.0
13,27,1.0,27.0,0.0
14,205,8469.0,205.0,15.0
15,1,0.0,1.0,0.0
16,5,0.0,5.0,0.0
17,1,0.0,1.0,0.0
18,1,0.0,1.0,0.0
19,33,0.0,33.0,0.0
20,3,0.0,3.0,0.0
21,36,322.0,36.0,2.0
22,1,0.0,1.0,0.0
23,13,22.0,13.0,0.0
24,7,3.0,7.0,0.0
25,3,0.0,3.0,0.0
26,28,336.0,28.0,0.0
27,3,0.0,3.0,0.0
28,115,2852.0,97.0,14.0
